writer
A.A. Milne
Paul Zbyszewski
Paula Pell
Paula van der Oest
Paulo Coelho
Paulo Lins
Pavel Taussig
Pawel Pawlikowski
Pedro Almodóvar
Pedro Peirano
Peeter Rebane
Pella Kagerman
Pen Densham
Penelope Spheeris
Per Schreiner
Perry Bhandal
Pete Docter
Pete Goldfinger
Pete Jones
Peter A. Dowling
Peter Abrahams
Peter Ackerman
Peter Allen
Peter Atkins
Peter Aykroyd
Peter Baynham
Peter Berg
Peter Buchman
Peter Carey
Peter Chiarelli
Peter Cook
Peter Craig
Peter Dexter
Peter Engelmann
Peter Facinelli
Peter Farrelly
Peter Filardi
Peter Gaulke
Peter Glanz
Peter Hedges
Peter Høeg
Peter Howitt
Peter Hutchings
Peter Hyams
Peter Jinks
Peter Joseph
Peter Landesman
Peter Lepeniotis
Peter Lord
Peter M. Lenkov
Peter Morgan
Peter Mullan
Peter O'Brien
Peter Rader
Peter Sattler
Peter Schink
Peter Stebbings
Peter Steinfeld
Peter Straughan
Peter Strickland
Peter Thorwarth
Peter Tolan
Peter Turner
Peter Viertel
Peter Weir
Peter Winther
Peter Woodward
Petr Jákl
Petter Skavlan
Phil Alden Robinson
Phil Graziadei
Phil Hay
Phil Johnston
Phil Lord
Phil Sears
Phil Tippett
Philip Barantini
Philip Eisner
Philip Gelatt
Philip K. Dick
Philip LaZebnik
Philip Railsback
Philip Ridley
Philip Roth
Philip Shelby
Philip Stark
Philippa Goslett
Philippe Claudel
Philippe de Chauveron
Philippe Djian
Philippe Falardeau
Philippe Le Guay
Philippe Lioret
Philippe Vidal
Phoebe Gloeckner
Phra Sripariyattiweti
Phyllis Nagy
Pierce Gardner
Pierre Boileau
Pierre Boulle
Pierre Christin
Pierre Jolivet
Pierre Salvadori
Piers Ashworth
Piers Paul Read
Pieter Jan Brugge
Pik-Wah Lee
Piyush Gupta
Plan B
Posy Simmonds
Potsy Ponciroli
Prabda Yoon
Pradeep Ranganathan
Prakash Kapadia
Prano Bailey-Bond
Puri Jagannadh
Quentin Dupieux
Quentin Tarantino
Qui Nguyen
Quiara Alegría Hudes
Quinn Shephard
R. Balki
R. Lance Hill
R. Lee Fleming Jr.
R.J. Stewart
R.L. Stine
Rachel Boynton
Rachid Bouchareb
Raci Sasmaz
Radhika Apte
Radu Mihaileanu
Rae Brunton
Rafa Martínez
Rafael Azcona
Rafael Casal
Rafael Cobos
Rafael Moreu
Rafael Yglesias
Rafe Judkins
Rahul Dholakia
Rahul Mody
Raja Menon
Rajat Arora
Rajesh Devraj
Rajkumar Hirani
Rakesh Roshan
Ralph Ziman
Ram Kumar
Ram Madhvani
Ramin Bahrani
Rand Ravich
Randall Jahnson
Randall Sullivan
Randall Wallace
Randy Brown
Randy Feldman
Randy Kornfield
Randy T. Dinzler
Ranko Bozic
Ransom Riggs
Rashida Jones
Raúl Arévalo
Raul Inglis
Rawson Marshall Thurber
Ray Wright
Raymond Carver
Rebeca Arnal
Rebecca Frayn
Rebecca Hall
Rebecca Lenkiewicz
Rebecca Miller
Rebecca Wells
Reggie Rock Bythewood
Reginald Hudlin
Régis Roinsard
Reid Carolin
Remi Weekes
Rémy Belvaux
René Goscinny
Renzil D'Silva
Rex Pickett
Rhett Reese
Rian Johnson
Ric Roman Waugh
Rich Moore
Rich Wilkes
Richard Ayoade
Richard Bates Jr.
Richard Bean
Richard Bedser
Richard Condon
Richard Curtis
Richard D'Ovidio
Richard Eyre
Richard Glatzer
Richard Hatem
Richard Herley
Richard Holmes
Richard Jefferies
Richard Kelly
Richard LaGravenese
Richard Linklater
Richard Maltby Jr.
Richard Matheson
Richard Neely
Richard Nelson
Richard Price
Richard Raymond Harry Herbeck
Richard Recco
Richard Rich
Richard Rothstein
Richard Russo
Richard Shepard
Richard Tanne
Richard Wenk
Rick Alvarez
Rick Famuyiwa
Rick Jaffa
Rick King
Rick Moody
Rick Natkin
Rick Rosner
Ricky Blitt
Ricky Gervais
Riley Stearns
Rishab Shetty
Rita Kalnejais
Rita Rudner
Ritesh Batra
Ritesh Shah
Riwia Brown
Roald Dahl
Rob Burnett
Rob Epstein
Rob Greenberg
Rob Hayes
Rob Hedden
Rob Jabbaz
Rob Lieber
Rob McKittrick
Rob Perez
Rob Reiner
Rob Sprackling
Rob Thomas
Rob Yescombe
Rob Zombie
Robb Cullen
Robb White
Robbie Fox
Robert A. Heinlein
Robert Adetuyi
Robert Altman
Robert Ben Garant
Robert Benton
Robert Berger
Robert Budreau
Robert Carlock
Robert Chomiak
Robert Clouse
Robert Crais
Robert D. Krzykowski
Robert D. San Souci
Robert Drewe
Robert Dunn
Robert Duvall
Robert Eggers
Robert Eisele
Robert Engels
Robert Farrar
Robert Fyvolent
Robert Gordon
Robert Graysmith
Robert Hamner
Robert Harling
Robert Harris
Robert Kanigel
Robert Kaplow
Robert King
Robert Knott
Robert Kolker
Robert Kurtzman
Robert L. Baird
Robert Louis Stevenson
Robert Ludlum
Robert Mark Kamen
Robert Marshall
Robert Martin
Robert Munic
Robert Nathan
Robert Nelson Jacobs
Robert O'Connor
Robert Orr
Robert Pucci
Robert Ramsey
Robert Rodat
Robert Rodriguez
Robert Schenkkan
Robert Schwentke
Robert Sheckley
Robert Siegel
Robert Smigel
Robert Souza
Robert T. Megginson
Robert Towne
Robert Zappia
Robert Zemeckis
Roberto Benigni
Roberto Orci
Roberto Patino
Roberto Saviano
Robin Bernheim
Robin Bissell
Robin Campillo
Robin Nishi
Robin Schiff
Robin Swicord
Rod Dean
Rod Lurie
Roddy Doyle
Roderick Taylor
Rodman Philbrick
Rodney Patrick Vaccaro
Rodrigo Cortés
Rodrigo García
Rodrigo Grande
Roger Avary
Roger Danès
Roger Donaldson
Roger Lewis
Roger Michell
Roger Rueff
Roger Towne
Roi Cooper Megrue
Rojin Thomas
Roland Emmerich
Rolf de Heer
Romain Protat
Ron Bass
Ron Burch
Ron Clements
Ron Jones
Ron L. Brinkerhoff
Ron Mael
Ron Mita
Ron Nyswaner
Ron Osborn
Ron Shelton
Ronald Bronstein
Ronald Everett Capps
Ronald Harwood
Ronald Lang
Ronald Roose
Ronan Bennett
Ronnie Christensen
Ronnie Sandahl
Rosalie Ham
Rosalind Ross
Rosalind Wiseman
Rose Bosch
Rose Glass
Ross Klavan
Ross LaManna
Ross Thomas
Rowan Atkinson
Rowan Joffe
Rowdy Herrington
Roy Andersson
Roy Frumkes
Roy Huggins
Ruben Alves
Ruben Östlund
Ruben Santiago-Hudson
Rubin 'Hurricane' Carter
Ruckus Skye
Rudolph Grey
Rudyard Kipling
Rupert Goold
Russell Banks
Russell Gewirtz
Russell Mulcahy
Ruth Rendell
Ruth Toma
Ryan Binaco
Ryan Coogler
Ryan Engle
Ryan Eslinger
Ryan Fleck
Ryan Gosling
Ryan J. Condal
Ryan Murphy
Ryan Ridley
Ryan Rowe
Ryan Spindell
Ryne Douglas Pearson
Ryû Murakami
Ryûhei Kitamura
Ryûzô Kikushima
RZA
S. Craig Zahler
S.S. Rajamouli
S.S. Wilson
Sabrina B. Karine
Sabrina Dhawan
Sacha Baron Cohen
Sacha Gervasi
Sachy
Sadayuki Murai
Saeed Roustayi
Saiwyn Quadras
Sakichi Sato
Salim Khan
Sally El Hosaini
Sally Potter
Sam Esmail
Sam Harper
Sam Levinson
Sam Mendes
Sam Raimi
Sam Wolfson
Samantha McIntyre
Samuel A. Taylor
Samuel D. Hunter
Samuel W. Taylor
Sanchit Bedre
Sanchit Gupta
Sandeep Kewlani
Sandeep Leyzell
Sandeep Shrivastava
Sandra Nettelbeck
Sandra Vo-Anh
Sandro Petraglia
Sang-ho Yeon
Sanjay Leela Bhansali
Santiago Díaz
Santiago Mitre
Santiago Segura
Santo Cilauro
Sara B. Cooper
Sara Bernstein
Sarah Adina Smith
Sarah Alderson
Sarah DeLappe
Sarah Gubbins
Sarah Polley
Sarah Rothschild
Sarah Thorp
Sarfraz Manzoor
Saroo Brierley
Satoshi Kon
Satoshi Tajiri
Saul Dibb
Scot Armstrong
Scott Adkins
Scott Alexander
Scott Aukerman
Scott B. Smith
Scott Beck
Scott Bindley
Scott Cooper
Scott Derrickson
Scott Frank
Scott Glosserman
Scott Kosar
Scott Lobdell
Scott Marshall Smith
Scott McPherson
Scott Milam
Scott Mosier
Scott Neustadter
Scott Rosenberg
Scott Rothman
Scott Silver
Scott Stewart
Scott Turow
Scott Walker
Scott Wascha
Scott Windhauser
Scott Wiper
Scott Yagemann
Scott Z. Burns
Scotty Landes
Se-yeong Bae
Sean Anders
Sean Bailey
Sean Baker
Sean Byrne
Sean Conway
Sean Durkin
Sean Ellis
Sean Flynn
Sean French
Sean Hood
Sean McGinly
Sean McNamara
Sean Moynihan
Sean O'Keefe
Sean Penn
Sebastián Borensztein
Sebastian Faulks
Sebastian Gutierrez
Sebastian Junger
Sebastián Lelio
Sebastian Schipper
Sébastien Japrisot
Sei Shonagon
Selwyn Roberts
Semi Chellas
Serge Frydman
Sergi Belbel
Sergio Casci
Sergio G. Sánchez
Sergio Pablos
Seth Bass
Seth Grahame-Smith
Seth Lochhead
Seth M. Sherwood
Seth MacFarlane
Seth Reiss
Seth Rogen
Seth W. Owen
Shagufta Rafique
Shakun Batra
Shana Feste
Shana Larsen
Shane Abbess
Shane Black
Shane Carruth
Shane Mack
Shane Meadows
Shane Salerno
Sharat Chandra Chaterjee
Sharman Macdonald
Shashank Khaitan
Shaun Grant
Shauna Cross
Shawn Christensen
Shawn Linden
Shawn Schepps
Shawn Slovo
Shawn Wayans
Shay Hatten
Sheikh Al-Habib
Sheila Burnford
Sheldon Lettich
Sheldon Turner
Sheng Ding
Sherman Alexie
Sherry White
Sherwood Schwartz
Shi Bao
Shia LaBeouf
Shibani Bathija
Shin'ichirô Ueda
Shirow Masamune
Shobhna Desai
Shoojit Sircar
Shotaro Suga
Shridhar Raghavan
Shubhendu Bhattacharya
Shûhei Fujisawa
Sian Heder
Siddharth Anand
Sidney Lumet
Silvio Horta
Sima Agarwal
Simon Aboud
Simon Barrett
Simon Beaufoy
Simon Boyes
Simon Burke
Simon Carmody
Simon Carr
Simon Kelton
Simon Kinberg
Simon Maginn
Simon Moore
Simon Pegg
Simon Reade
Simon Rich
Simon Stephenson
Simon Wells
Sion Sono
Siraj Ahmed
Siv Rajendram Eliassen
Siva
Sjón
Skip Hollandsworth
Skip Woods
Slavomir Rawicz
Smita Singh
Sngmoo Lee
Sofia Alvarez
Sofia Coppola
Sofía Cuenca
Sonu Sinha
Sooni Taraporevala
Sophie Barthes
Spenser Cohen
Spike Jonze
Spike Lee
Srdjan Dragojevic
Srinivas Kavinayam
Stacey Harman
Stacey Menear
Stacy Peralta
Stacy Sherman
Stan Lee
Stan Seidel
Stanislaw Lem
Stanley Kubrick
Stanley Shapiro
Stanley Tong
Stanley Tucci
Stanley Weiser
Stefan Zweig
Stefani Warren
Steffen Schlachtenhaufen
Stel Pavlou
Stephan Elliott
Stephan Lacant
Stéphane Cabel
Stéphane Kazandjian
Stéphane Rybojad
Stephanie Fabrizi
Stephen Amidon
Stephen Belber
Stephen Beresford
Stephen Chbosky
Stephen Chin
Stephen Chow
Stephen Cognetti
Stephen Cyrus Sepher
Stephen Dyer
Stephen Fingleton
Stephen Gaghan
Stephen Glantz
Stephen Hunter
Stephen J. Anderson
Stephen J. Rivele
Stephen Jeffreys
Stephen Katz
Stephen King
Stephen Levy
Stephen M. Ryder
Stephen McCauley
Stephen Merchant
Stephen P. Lindsey
Stephen Peters
Stephen Schiff
Stephen Sinclair
Stephen Sommers
Stephen Susco
Stephen Volk
Stephen Zotnowski
Steve Allrich
Steve Antin
Steve Barancik
Steve Bencich
Steve Bloom
Steve Box
Steve Buscemi
Steve Conrad
Steve Coogan
Steve Faber
Steve Franks
Steve Galluccio
Steve Kloves
Steve Koren
Steve MacManus
Steve Mallory
Steve Martin
Steve McQueen
Steve Moore
Steve Niles
Steve Oedekerk
Steve Zacharias
Steven Baigelman
Steven Brill
Steven E. de Souza
Steven Fechter
Steven Gomez
Steven Katz
Steven Knight
Steven Kostanski
Steven Levenson
Steven McKay
Steven Naifeh
Steven Pressfield
Steven Rogers
Steven S. DeKnight
Steven Silver
Steven Spielberg
Steven Zaillian
Stewart Raffill
Stewart Williams
Stu Small
Stuart Beattie
Stuart Blumberg
Stuart Hazeldine
Stuart Townsend
Subhash Kapoor
Sudha Kongara
Sue Miller
Sujeeth
Sujoy Ghosh
Sukumar
Sumit Arora
Sumit Batheja
Sunao Katabuchi
Sung-hee Jo
Sung-su Kim
Suryapal Singh
Susan Coyne
Susan Estelle Jansen
Susan Gauthier
Susan Hill
Susan Isaacs
Susan McMartin
Susan Minot
Susan Orlean
Susan Shilliday
Susan Swan
Susanna Fogel
Susanna Jones
Susanna Kaysen
Susannah Grant
Susanne Bier
Suzan-Lori Parks
Swanand Kirkire
Swaroop Rsj
Syam Pushkaran
Sydney J. Bounds
Sylvain Chomet
Sylvester Stallone
T. Coraghessan Boyle
T.J. Fixman
T.J. Gnanavel
T.S. Nowlin
Tab Murphy
Tai-lee Chan
Taika Waititi
Takashi Bufford
Takashi Hasegawa
Takashi Miike
Takashi Shimizu
Takashi Yamazaki
Takeshi Kitano
Tamara Berger
Tamara Jenkins
Tan Cheung
Tanida Hantaweewatana
Tanuja Chandra
Tasha Bhambra
Tassos Boulmetis
Tate Taylor
Tatiana De Rosnay
Tatjana Mülbeier
Taylor Allen
Taylor Hackford
Taylor Materne
Taylor Sheridan
Ted Elliott
Ted Geoghegan
Ted Griffin
Ted Humphrey
Ted Lewis
Ted Tally
Teddy Chan
Temple Mathews
Terence Rattigan
Terence Winter
Terrel Seltzer
Terrence Malick
Terrence McNally
Terri Hughes Burton
Terry George
Terry Gilliam
Terry Jones
Terry McMillan
Terry Rossio
Tess Morris
Tetsurô Sayama
Tetsuya Saruwatari
The Vicious Brothers
Theodore Melfi
Theodoros Angelopoulos
Theresa Rebeck
Thom Enriquez
Thomas Bahmann
Thomas Bangalter
Thomas Berger
Thomas Bezucha
Thomas Bidegain
Thomas Dean Donnelly
Thomas Eidson
Thomas Gunzig
Thomas Hardy
Thomas Harris
Thomas Jahn
Thomas Keneally
Thomas Lee Wright
Thomas Lennon
Thomas M. Wright
Thomas Moffett
Thomas Moldestad
Thomas Nordseth-Tiller
Thomas Pa'a Sibbett
Thomas Vinterberg
Thorbjørn Christoffersen
Ti West
Tiffany Paulsen
Tim Blake Nelson
Tim Burton
Tim Fehlbaum
Tim Heidecker
Tim Herlihy
Tim Hill
Tim Kelleher
Tim Krabbé
Tim Macy
Tim McCanlies
Tim Meadows
Tim Rice
Tim Robbins
Tim Talbott
Timo Tjahjanto
Timothy Dowling
Timothy Linh Bui
Timur Bekmambetov
Tin-Nam Chun
Tin-suen Chan
Tina Gordon
Tina Turner
Tite Kubo
Tiziano Sclavi
Tobias Lindholm
Tobias Wolff
Toby Emmerich
Toby Finlay
Toby Harvard
Todd Alcott
Todd Berger
Todd Casey
Todd Edwards
Todd Farmer
Todd Field
Todd Hanson
Todd Haynes
Todd Komarnicki
Todd Louiso
Todd McFarlane
Todd Phillips
Todd Robinson
Todd Solondz
Todd Stein
Tolga Karaçelik
Tom Bleecker
Tom Bradby
Tom Brady
Tom Butterworth
Tom Clancy
Tom Davis
Tom DeSanto
Tom DiCillo
Tom Edge
Tom Eyen
Tom Flynn
Tom Ford
Tom Gormican
Tom Hanks
Tom J. Astle
Tom Jankiewicz
Tom Lazarus
Tom Matthews
Tom McCarthy
Tom Mullen
Tom Nursall
Tom O'Connor
Tom O'Rourke
Tom Perrotta
Tom S. Parker
Tom Schulman
Tom Sierchio
Tom Stoppard
Tom Szollosi
Tom Tykwer
Tom Vaughan
Tom Wheeler
Tom Williams
Tomàs Aragay
Tomm Moore
Tommy Lee Jones
Tommy Murphy
Tommy O'Haver
Tommy Wirkola
Tong Su
Toni Ann Johnson
Tony Burgess
Tony Elliott
Tony Gayton
Tony Giglio
Tony Gilroy
Tony Griffin
Tony Grisoni
Tony Hendra
Tony Jaa
Tony Kushner
Tony McNamara
Tony Mosher
Tony Puryear
Tracey Jackson
Tracey Scott Wilson
Tracy Chevalier
Tracy Keenan Wynn
Tracy Letts
Tracy Oliver
Travis Beacham
Travis Milloy
Travis Walton
Trent Haaga
Trevor De Silva
Trey Edward Shults
Trey Parker
Tripper Clancy
Tristan Carné
Troy Duffy
Troy Kennedy-Martin
Troy Neighbors
Tsugumi Ôba
Tsukasa Hôjô
Tung-Shing Yee
Tushar Hiranandani
Tyler Burton Smith
Tyler Nilson
Tyler Perry
Tyler Tice
Ugo Chiti
Ulf Ryberg
Umair Aleem
Urmi Juvekar
Ursula K. Le Guin
Uwe Boll
V. Harikrishna
Väinö Linna
Vakkantham Vamsi
Valentine Davies
Valerie Curtin
Valerie Martin
Vamshi Paidipally
Van Robichaux
Vanessa Block
Vanessa Taylor
Vanessa Winter
Vanja Bulic
Vasan Bala
Vasiliy Grossman
Vaughn Stein
Veena Sud
Venkat Prabhu
Vera Blasi
Vera Brittain
Vera Chapman
Veronika Franz
Vicente Leñero
Vicky Jewson
Victor Hugo
Victor Levin
Victor Miller
Victor Salva
Victoria Bedos
Vijay Krishna Acharya
Vijayadan Detha
Vijayendra Prasad
Vikas Bahl
Vince Gilligan
Vince Marcello
Vince McKewin
Vince Vaughn
Vincent Gallo
Vincenzo Cerami
Vincenzo Natali
Vineeth Sreenivasan
Vipul K. Rawal
Virgil Williams
Virginia Woolf
Vishal Bhardwaj
Vishnuvardhan
Vivek Agnihotri
Vivek Soni
Vladimir Besedin
Vladimir Moiseenko
Vladimir Nabokov
Vondie Curtis-Hall
Vy Vincent Ngo
W. Bruce Cameron
W. Peter Iliff
W. Somerset Maugham
W.D. Richter
Wajid Shaikh
Walter B. Gibson
Walter Campbell
Walter Kirn
Walter Mosley
Wang Nima
Waris Dirie
Warren Adler
Warren Beatty
Washington Irving
Wayne Beach
Wayne Kramer
Wayne Roberts
Wei Li
Wei Lu
Weird Al' Yankovic
Wentworth Miller
Werner Herzog
Wes Anderson
Wes Craven
Wes Tooke
Wesley Strick
Whit Stillman
Whitney Otto
Will Beall
Will Berson
Will Collins
Will Davies
Will De Los Santos
Will Ferrell
Will Fetters
Will Finn
Will Forte
Will Gluck
Will Honley
Will McRobb
Will Merrick
Will Reiser
Will Wernick
Willard Carroll
William B. Breuer
William Blinn
William Brent Bell
William Brookfield
William Broyles Jr.
William Diehl
William Douglas-Home
William Gibson
William Golding
William Goldman
William Hanna
William Ivory
William J. Locke
William M. Finkelstein
William M. Gaines
William Mastrosimone
William Monahan
William Morrissey
William Nicholson
William P. Kennedy
William Peter Blatty
William Phillips
William Rose
William S. Burroughs
William Shakespeare
William Steig
William Wheeler
Willie Morris
Wilson Yip
Wim Wenders
Wing-Sum Lam
Winston Groom
Wolfgang Herrndorf
Won-Chan Hong
Won-Tae Lee
Woody Allen
Xavier Beauvois
Xavier Dolan
Xavier Gens
Yale Hannon
Yann Martel
Yann Samuell
Yaron Zilberman
Yasmina Reza
Yasushi Akimoto
Yasutaka Tsutsui
Yavuz Turgul
Yeong-ha Kim
Yigit Güralp
Yilmaz Erdogan
Yolanda Ramke
Yorgos Lanthimos
Yoru Sumino
Yoshiaki Kawajiri
Yoshitoki Oima
Yossi Ghinsberg
Young-jong Lee
Yu-na Eom
Yuet-Jan Hui
Yunus Sajawal
Yuriy Bykov
Zac Stanford
Zach Baylin
Zach Braff
Zach Cregger
Zach Dean
Zach Helm
Zach Lipovsky
Zack Ford
Zack Kahn
Zack Snyder
Zack Stentz
Zak Hilditch
Zak Olkewicz
Zak Penn
Zal Batmanglij
Zeki Demirkubuz
Zeph E. Daniel
Zhangke Jia
Zhihong Bian
Ziad Doueiri
Zoe Kazan
Zoë Lund
Zoran Lisinac
Zoya Akhtar
Zu Quirke
